Cancer_Type,Total_Samples,Correctly_Predicted_as_Positive,Wrongly_Predicted_as_Negative,Detection_Rate,Avg_Malignant_Probability
Adenocarcinoma,99,80,19,0.8080808080808081,0.66061926
Squamous Cell Carcinoma,10,7,3,0.7,0.615578
Poorly Differentiated Squamous Cell Carcinoma,4,3,1,0.75,0.68261445
Small Cell Carcinoma,4,2,2,0.5,0.507477
Adenosquamous Carcinoma,2,2,0,1.0,0.7946707
Moderately Differentiated Squamous Cell Carcinoma,2,2,0,1.0,0.82995915
Carcinoid (Adeno/Oat Cell),1,1,0,1.0,0.8306656
Adenocarcinoma of Right Lower Lobe,1,1,0,1.0,0.82968706
Moderately Differentiated Adenocarcinoma,1,1,0,1.0,0.7708628
Poorly Differentiated Adenocarcinoma,1,1,0,1.0,0.85453415
